case,val_index,finding_id,category,row,model,policy,dice,hit,gt_voxels,pred_voxels,tp,fp,fn,pp3_route_corrected
train_2675_a_1.nii.gz,5,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.01268341671773085,False,10232,151081,1023,150058,9209,False
train_2675_a_1.nii.gz,5,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.01268341671773085,False,10232,151081,1023,150058,9209,False
train_3011_a_2.nii.gz,6,0,2a,overall_best,exp007_cont_e050_abs_e150,raw,0.18772595563700223,True,87067,24404,10463,13941,76604,False
train_3011_a_2.nii.gz,6,0,2a,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.18772595563700223,True,87067,24404,10463,13941,76604,False
train_3011_a_2.nii.gz,6,0,2a,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.18772595563700223,True,87067,24404,10463,13941,76604,False
train_3011_a_2.nii.gz,6,0,2a,category_best,exp009_s3v2_e100,raw,0.21251270591950067,True,87067,41810,13694,28116,73373,False
train_3011_a_2.nii.gz,6,0,2a,category_best,exp009_s3v2_e100,pp2_whole_lung20,0.21251270591950067,True,87067,41810,13694,28116,73373,False
train_3011_a_2.nii.gz,6,0,2a,category_best,exp009_s3v2_e100,pp3_fine20_corrected_routes,0.21251270591950067,True,87067,41810,13694,28116,73373,False
train_3011_a_2.nii.gz,6,0,2a,iso07_best,exp017_cont_e050_abs_e150,raw,0.2190467410415871,True,87067,21403,11880,9523,75187,False
train_3011_a_2.nii.gz,6,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.2190467410415871,True,87067,21403,11880,9523,75187,False
train_3011_a_2.nii.gz,6,0,2a,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.2190467410415871,True,87067,21403,11880,9523,75187,False
train_3011_a_2.nii.gz,6,1,1c,overall_best,exp007_cont_e050_abs_e150,raw,0.009110547618619774,False,21022,272,97,175,20925,False
train_3011_a_2.nii.gz,6,1,1c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.009180389976851203,False,21022,110,97,13,20925,False
train_3011_a_2.nii.gz,6,1,1c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.009180389976851203,False,21022,110,97,13,20925,False
train_3011_a_2.nii.gz,6,1,1c,category_best,exp017_cont_e075_abs_e175,raw,0.017069052119160738,False,21022,889,187,702,20835,False
train_3011_a_2.nii.gz,6,1,1c,category_best,exp017_cont_e075_abs_e175,pp2_whole_lung20,0.017069052119160738,False,21022,889,187,702,20835,False
train_3011_a_2.nii.gz,6,1,1c,category_best,exp017_cont_e075_abs_e175,pp3_fine20_corrected_routes,0.017069052119160738,False,21022,889,187,702,20835,False
train_3011_a_2.nii.gz,6,1,1c,iso07_best,exp017_cont_e050_abs_e150,raw,0.02181516941173531,False,21022,706,237,469,20785,False
train_3011_a_2.nii.gz,6,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.02181516941173531,False,21022,706,237,469,20785,False
train_3011_a_2.nii.gz,6,1,1c,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.02181516941173531,False,21022,706,237,469,20785,False
train_19891_a_2.nii.gz,7,0,2g,overall_best,exp007_cont_e050_abs_e150,raw,0.04831350237913407,False,3249700,106753,81081,25672,3168619,False
train_19891_a_2.nii.gz,7,0,2g,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.04831350237913407,False,3249700,106753,81081,25672,3168619,False
train_19891_a_2.nii.gz,7,0,2g,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.04831350237913407,False,3249700,106753,81081,25672,3168619,False
train_19891_a_2.nii.gz,7,0,2g,category_best,exp007_ddp_e025,raw,0.12514054786087703,True,3249700,300692,222149,78543,3027551,False
train_19891_a_2.nii.gz,7,0,2g,category_best,exp007_ddp_e025,pp2_whole_lung20,0.12514054786087703,True,3249700,300692,222149,78543,3027551,False
train_19891_a_2.nii.gz,7,0,2g,category_best,exp007_ddp_e025,pp3_fine20_corrected_routes,0.12514054786087703,True,3249700,300692,222149,78543,3027551,False
train_19891_a_2.nii.gz,7,0,2g,iso07_best,exp017_cont_e050_abs_e150,raw,0.03990767895490418,False,3249700,79985,66440,13545,3183260,False
train_19891_a_2.nii.gz,7,0,2g,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.03990767895490418,False,3249700,79985,66440,13545,3183260,False
train_19891_a_2.nii.gz,7,0,2g,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.03990767895490418,False,3249700,79985,66440,13545,3183260,False
train_19891_a_2.nii.gz,7,1,2e,overall_best,exp007_cont_e050_abs_e150,raw,0.47911342172112387,True,2695756,921567,866554,55013,1829202,False
train_19891_a_2.nii.gz,7,1,2e,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.47911342172112387,True,2695756,921567,866554,55013,1829202,False
train_19891_a_2.nii.gz,7,1,2e,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.47911342172112387,True,2695756,921567,866554,55013,1829202,False
train_19891_a_2.nii.gz,7,1,2e,category_best,exp007_cont_e100_abs_e200,raw,0.6031415554971833,True,2695756,1207215,1177022,30193,1518734,False
train_19891_a_2.nii.gz,7,1,2e,category_best,exp007_cont_e100_abs_e200,pp2_whole_lung20,0.6031415554971833,True,2695756,1207215,1177022,30193,1518734,False
train_19891_a_2.nii.gz,7,1,2e,category_best,exp007_cont_e100_abs_e200,pp3_fine20_corrected_routes,0.6031415554971833,True,2695756,1207215,1177022,30193,1518734,False
train_19891_a_2.nii.gz,7,1,2e,iso07_best,exp017_cont_e050_abs_e150,raw,0.39336902838615634,True,2695756,669603,661914,7689,2033842,False
train_19891_a_2.nii.gz,7,1,2e,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.39336902838615634,True,2695756,669603,661914,7689,2033842,False
train_19891_a_2.nii.gz,7,1,2e,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.39336902838615634,True,2695756,669603,661914,7689,2033842,False
train_13481_a_2.nii.gz,8,0,2b,overall_best,exp007_cont_e050_abs_e150,raw,0.4825486349532843,True,123773,218779,82649,136130,41124,False
train_13481_a_2.nii.gz,8,0,2b,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.5467668257716294,True,123773,178546,82649,95897,41124,False
train_13481_a_2.nii.gz,8,0,2b,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.4825486349532843,True,123773,218779,82649,136130,41124,False
train_13481_a_2.nii.gz,8,0,2b,category_best,exp013_category_2all_focal_target100_e100,raw,0.6119223844781475,True,123773,186165,94829,91336,28944,False
train_13481_a_2.nii.gz,8,0,2b,category_best,exp013_category_2all_focal_target100_e100,pp2_whole_lung20,0.6303862261529269,True,123773,177087,94829,82258,28944,False
